Id;Measure;WijkenEnBuurten;Value;StringValue;ValueAttribute
259;53715;BU16800009;70;;None
260;80200;BU16800009;45;;None
261;1010;BU16800009;55;;None
262;1020;BU16800009;90;;None
263;1080;BU16800009;5;;None
264;1050;BU16800009;5;;None
265;2012655;BU16800009;5;;None
266;2012657_2;BU16800009;0;;None
267;H008673;BU16800009;0;;None
268;H007119;BU16800009;0;;None
269;H008751;BU16800009;0;;None
270;H008766;BU16800009;0;;None
271;A008187;BU16800009;0;;None
272;1050010_2;BU16800009;65;;None
273;1050015;BU16800009;15;;None
274;1016040;BU16800009;30;;None
275;1016030;BU16800009;20;;None
276;M000114;BU16800009;2,4;;None
277;M000100;BU16800009;13;;None
278;M000297;BU16800009;63;;None
279;M001642;BU16800009;515;;None
280;ZW10290;BU16800009;100;;None
281;ZW10340;BU16800009;0;;None
282;A028725;BU16800009;97;;None
283;A028726;BU16800009;3;;None
284;1014800_1;BU16800009;97;;None
285;1014850_2;BU16800009;3;;None
286;A047047;BU16800009;0;;None
287;A047048;BU16800009;3;;None
288;A047051;BU16800009;0;;None
289;ZW25808;BU16800009;70;;None
290;ZW25807;BU16800009;30;;None
291;M000200_2;BU16800009;30;;None
292;301000;BU16800009;10;;None
293;300003;BU16800009;0;;None
294;300005;BU16800009;0;;None
295;383105;BU16800009;0;;None
296;300009;BU16800009;0;;None
297;300010;BU16800009;10;;None
298;300012;BU16800009;5;;None
299;300014;BU16800009;5;;None
300;A018943_2;BU16800009;100;;None
301;A019276;BU16800009;75;;None
302;D001045;BU16800009;25;;None
303;M000368;BU16800009;1,5;;None
304;A018943_4;BU16800009;8;;None
305;A018944;BU16800009;10;;None
306;T001455_2;BU16800009;1226;;None
307;A047044;BU16800009;1213;;None
308;A047040;BU16800009;13;;None
309;PC000C;BU16800009;;      9468;None
310;M000217;BU16800009;1;;None
311;ST0001;BU16800009;5;;None
312;ST0003;BU16800009;58;;None
313;GM000C;WK168001;;Aa en Hunze                             ;None
314;R00003;WK168001;;Wijk      ;None
315;R00004;WK168001;;WK168001  ;None
316;M000125;WK168001;;1;None
317;T001036;WK168001;1450;;None
318;3000;WK168001;745;;None
319;4000;WK168001;710;;None
320;10680;WK168001;200;;None
321;53050;WK168001;165;;None
322;53310;WK168001;300;;None
323;53715;WK168001;460;;None
324;80200;WK168001;325;;None
325;1010;WK168001;655;;None
326;1020;WK168001;625;;None
327;1080;WK168001;105;;None
328;1050;WK168001;70;;None
329;2012655;WK168001;60;;None
330;2012657_2;WK168001;20;;None
331;H008673;WK168001;0;;None
332;H007119;WK168001;0;;None
333;H008751;WK168001;0;;None
334;H008766;WK168001;0;;None
335;A008187;WK168001;15;;None
336;1050010_2;WK168001;640;;None
337;1050015;WK168001;185;;None
338;1016040;WK168001;245;;None
339;1016030;WK168001;210;;None
340;M000114;WK168001;2,3;;None
341;M000100;WK168001;81;;None
342;M000297;WK168001;598;;None
343;M001642;WK168001;315;;None
344;ZW10290;WK168001;97;;None
345;ZW10340;WK168001;3;;None
346;A028725;WK168001;97;;None
347;A028726;WK168001;3;;None
348;1014800_1;WK168001;84;;None
349;1014850_2;WK168001;16;;None
350;A047047;WK168001;12;;None
351;A047048;WK168001;4;;None
352;A047051;WK168001;0;;None
353;ZW25808;WK168001;93;;None
354;ZW25807;WK168001;7;;None
355;M000200_2;WK168001;195;;None
