"","charger_longitude","charger_latitude","highway_dist","highway"
"254",4.6638769,52.5086827,974.043018331572,1
"255",4.6642342,52.4321231,701.961625196425,1
"256",4.6644854,52.4314458,735.304814300298,1
"257",4.6656542,52.4274088,902.130503525618,1
"258",4.6665515,52.4831917,157.149102479856,1
"259",4.66789,51.572472,87.5310268446024,1
"260",4.6695719,52.385988,140.05001063086,1
"261",4.6705255,51.7821509,253.596317816014,1
"262",4.6722071,51.8662467,1001,0
"263",4.67248,51.8556529,142.400004340283,1
"264",4.67802,52.409506,1001,0
"265",4.6788732,51.7869104,569.712664969754,1
"266",4.6798253,51.8507377,47.0595636881043,1
"267",4.679896,52.517593,1001,0
"268",4.6802651,51.8499717,38.1417995114668,1
"269",4.6819582,52.3454428,328.491506583396,1
"270",4.682597,51.8276155,1001,0
"271",4.6836266,52.5217117,1001,0
"272",4.6842782,51.5735503,29.1607276301391,1
"273",4.6843199,52.3456187,219.280330446548,1
"274",4.684369,51.8018143,461.412856813511,1
"275",4.6851261,52.2914434,1001,0
"276",4.685379,51.8320719,1001,0
"277",4.6865692,52.3106729,713.765470261939,1
"278",4.6866422,52.6051341,1001,0
"279",4.687536,52.261445,86.8721872772406,1
"280",4.6883358,52.4977989,737.049979583817,1
"281",4.6892122,52.4884059,298.995885556911,1
"282",4.691014,52.496881,542.18174509423,1
"283",4.6931324,52.4967964,400.308512398176,1
"284",4.6969458,52.6781001,1001,0
"285",4.698551,52.014834,1001,0
"286",4.6987918,52.4986196,100.642648686438,1
"287",4.7016625,51.8369046,500.894352044091,1
"288",4.7021771,52.6606065,1001,0
"289",4.702202,51.8280249,198.013180080684,1
"290",4.7029809,52.5007005,92.945244619516,1
"291",4.7051994,51.5954925,1001,0
"292",4.7094463,51.8178953,94.3202288060787,1
"293",4.7149228,52.2924676,73.8971051826325,1
"294",4.715902,51.835433,289.381036456346,1
"295",4.7166941,51.6142003,326.262316662483,1
"296",4.71802,52.899423,1001,0
"297",4.7183033,52.8966624,1001,0
"298",4.7191675,52.6626716,1001,0
"299",4.7193594,51.8004121,1001,0
"300",4.7201923,52.8968859,1001,0
"301",4.722741,52.547541,71.3360295067864,1
"302",4.728394,51.580551,167.327608714881,1
"303",4.7287852,52.8933226,1001,0
"304",4.7295532,51.6233427,1001,0
"305",4.729835,51.5775364,216.649932428872,1
"306",4.7305045,51.5823632,390.675840231156,1
"307",4.7327867,52.8845976,1001,0
"308",4.7335605,51.5733004,502.757643387635,1
"309",4.7402498,51.8286303,302.123481610888,1
"310",4.74463,51.901523,1001,0
"311",4.7466056,52.4747047,1001,0
"312",4.74707,51.618219,1001,0
"313",4.7491462,52.2663271,1001,0
"314",4.7492785,51.6171556,1001,0
"315",4.7494249,52.499312,184.889229088837,1
"316",4.753672,52.068312,92.8397429546408,1
"317",4.7537964,52.2803538,410.88853196016,1
"318",4.7549187,52.6303878,1001,0
"319",4.7550968,52.8841904,1001,0
"320",4.756646,52.4835968,969.193451330917,1
"321",4.757784,52.6632694,701.367066004747,1
"322",4.7583832,52.0693079,229.321236851518,1
"323",4.761786,52.956759,389.497128854076,1
"324",4.762269,52.075882,986.338625246468,1
"325",4.765333,51.577248,564.736968198779,1
"326",4.76714,51.8223,692.88192111298,1
"327",4.768193,52.6626215,288.029337789576,1
"328",4.772447,51.820449,823.30511839967,1
"329",4.773582,52.3559924,1001,0
"330",4.7745825,52.9569349,131.624189569517,1
"331",4.7790753,52.3918194,25.4351281994748,1
"332",4.7793665,52.9321416,404.752772723143,1
"333",4.7826089,52.287059,31.7084249903048,1
"334",4.78287,51.678,1001,0
"335",4.7866,51.825426,127.727336696505,1
"336",4.788701,53.056574,1001,0
"337",4.788988,52.356617,1001,0
"338",4.791586,51.678372,1001,0
"339",4.7927379,52.9157446,86.2378520124243,1
"340",4.7941321,52.3514855,1001,0
"341",4.794903,52.353578,1001,0
"342",4.7949371,52.2749735,665.761056255654,1
"343",4.7958288,52.3582863,1001,0
"344",4.796208,51.681488,1001,0
"345",4.7970221,53.0523938,1001,0
"346",4.797257,51.54928,1001,0
"347",4.7977251,52.7837791,298.059729378804,1
"348",4.797852,53.056937,1001,0
"349",4.7980288,51.8204703,417.712259179941,1
"350",4.798629,52.277243,736.694546500432,1
"351",4.8007988,52.7795441,359.20962941134,1
"352",4.800934,51.610131,937.359769480579,1
"353",4.8012493,52.3740729,1001,0
"354",4.8017871,52.3520926,1001,0
"355",4.8024156,53.054436,1001,0
"356",4.8045517,52.5507437,236.172947459926,1
"357",4.805407,52.348689,1001,0
"358",4.8056943,51.5674874,1001,0
"359",4.806174,52.366515,1001,0
"360",4.8065987,51.7078197,1001,0
"361",4.8078492,52.7901439,324.571064756917,1
"362",4.8099253,52.6452354,1001,0
"363",4.8105589,52.373779,1001,0
"364",4.8132904,52.2773437,133.282871710557,1
"365",4.81688,52.4515839,84.3238882870669,1
"366",4.816897,52.253689,375.185830341424,1
"367",4.8175896,52.4611042,108.753533495482,1
"368",4.8206172,52.311706,144.296527851005,1
"369",4.8218569,52.407457,1001,0
"370",4.8220768,52.4379451,416.226746045387,1
"371",4.8227811,52.6508238,1001,0
"372",4.8228522,52.6408482,1001,0
"373",4.8250218,52.662982,891.469172963958,1
