name,latitude,longitude,postal_code,city,country
,50.8270942,5.7297176,6228 XZ,Maastricht,Nederland
,50.8501054,5.7309241,6226 NB,Maastricht,Nederland
,50.8564828,5.6450553,6216 GC,Maastricht,Nederland
,50.8730532,5.8246259,6301 WG,Valkenburg,Nederland
,50.8711134,5.7078210,6222 NE,Maastricht,Nederland
,50.8718737,5.7077799,6222 NE,Maastricht,Nederland
,50.8280907,5.7678559,6267 CW,Cadier en Keer,Nederland
,50.8056131,5.7224479,6247 EP,Rijckholt,Nederland
Brusselse Poort P4,50.8498575,5.6655032,6216 CH,Maastricht,Nederland
,50.8430419,5.7016624,6221 KZ,Maastricht,Nederland
Parking D'n Observant,50.8166326,5.6874814,6212 NA,Maastricht,Nederland
,50.8422987,5.8251671,6301 AT,Valkenburg,Nederland
,50.8600665,5.6702502,6217 XS,Maastricht,Nederland
Op de Mert,50.8609701,5.7755316,6325 EC,Berg en Terblijt,Nederland
,50.9172533,5.5977208,3690,Zutendaal,België / Belgique / Belgien
,50.8079548,5.5738699,3770,Riemst,België / Belgique / Belgien
,50.8086006,5.5752004,3770,Riemst,België / Belgique / Belgien
,50.7811025,5.6942728,4600,Visé,België / Belgique / Belgien
,50.7822329,5.6965702,4600,Visé,België / Belgique / Belgien
Amerikaanse begraafplaats,50.8172620,5.8033563,6269 NA,Margraten,Nederland
,50.8182226,5.8036827,6269 AX,Margraten,Nederland
,50.8649140,5.8171843,6301 KZ,Valkenburg,Nederland
,50.9295807,5.7487797,6243 BC,Geulle aan de Maas,Nederland
,50.9101225,5.6260620,3620,Lanaken,België / Belgique / Belgien
,50.7735036,5.7187767,6245 JN,Eijsden,Nederland
,50.7715267,5.7138291,6245 AD,Eijsden,Nederland
,50.7707096,5.7207529,6245 SJ,Eijsden,Nederland
Brusselse Poort P3,50.8513999,5.6652554,6216 CG,Maastricht,Nederland
Brusselse Poort P2,50.8513049,5.6664301,6216 CG,Maastricht,Nederland
,50.8491343,5.6623358,6216 EA,Maastricht,Nederland
Burgemeester Ronckersplein,50.8188744,5.8241208,6269 AM,Margraten,Nederland
,50.9060274,5.7854175,6235 AC,Ulestraten,Nederland
,50.9083389,5.7905944,6235 NV,Ulestraten,Nederland
,50.8749296,5.7623495,6231 RV,Meerssen,Nederland
,50.8878927,5.7071308,6223 EP,Maastricht,Nederland
Parking De Krieckaert,50.8925813,5.5982624,3620,Lanaken,België / Belgique / Belgien
Trudoplein,50.7977214,5.6345284,3770,Riemst,België / Belgique / Belgien
,50.9294271,5.7246738,3631,Maasmechelen,België / Belgique / Belgien
,50.8601434,5.7735825,6325 PE,Berg en Terblijt,Nederland
,50.9079746,5.6875741,3620,Lanaken,België / Belgique / Belgien
,50.9244728,5.7041409,3621,Lanaken,België / Belgique / Belgien
,50.8358441,5.5522576,3740,Bilzen,België / Belgique / Belgien
,50.8415200,5.5767904,3740,Bilzen,België / Belgique / Belgien
,50.8769428,5.5794566,3740,Bilzen,België / Belgique / Belgien
,50.8754893,5.5742460,3740,Bilzen,België / Belgique / Belgien
,50.7863333,5.5957381,3770,Riemst,België / Belgique / Belgien
,50.8289611,5.6419131,3770,Riemst,België / Belgique / Belgien
,50.8066520,5.6045141,3770,Riemst,België / Belgique / Belgien
,50.8472922,5.7025233,6221 DB,Maastricht,Nederland
,50.8374052,5.7581916,6267 NL,Cadier en Keer,Nederland
,50.9210027,5.6071858,3690,Zutendaal,België / Belgique / Belgien
,50.9094912,5.6288759,3620,Lanaken,België / Belgique / Belgien
,50.9093641,5.6274499,3620,Lanaken,België / Belgique / Belgien
,50.9167218,5.6810135,3621,Lanaken,België / Belgique / Belgien
,50.9172937,5.6804339,3621,Lanaken,België / Belgique / Belgien
,50.9198500,5.6687556,3621,Lanaken,België / Belgique / Belgien
,50.8968654,5.6618641,3620,Lanaken,België / Belgique / Belgien
,50.8031970,5.5702913,3770,Riemst,België / Belgique / Belgien
,50.8057219,5.5771846,3770,Riemst,België / Belgique / Belgien
,50.8374993,5.6250606,3620,Lanaken,België / Belgique / Belgien
,50.8295221,5.6191346,3770,Riemst,België / Belgique / Belgien
,50.8820988,5.5769809,3740,Bilzen,België / Belgique / Belgien
,50.8824867,5.5769895,3740,Bilzen,België / Belgique / Belgien
,50.8600603,5.6210277,3620,Lanaken,België / Belgique / Belgien
,50.8659862,5.5823476,3740,Bilzen,België / Belgique / Belgien
,50.8710027,5.6246554,3620,Lanaken,België / Belgique / Belgien
,50.8619788,5.6252398,3620,Lanaken,België / Belgique / Belgien
,50.8623975,5.6254112,3620,Lanaken,België / Belgique / Belgien
,50.8348254,5.5872418,3770,Riemst,België / Belgique / Belgien
,50.8333296,5.5820574,3770,Riemst,België / Belgique / Belgien
,50.8458165,5.5753931,3740,Bilzen,België / Belgique / Belgien
,50.8746814,5.5746747,3740,Bilzen,België / Belgique / Belgien
P+R Stationstraat,50.8824357,5.7503486,6231 CM,Rothem,Nederland
,50.8830502,5.6054913,3620,Lanaken,België / Belgique / Belgien
,50.8209360,5.7112733,6229 PC,Maastricht,Nederland
,50.9072117,5.6035420,3690,Zutendaal,België / Belgique / Belgien
,50.9060809,5.6019532,3690,Zutendaal,België / Belgique / Belgien
,50.8902243,5.5987880,3620,Lanaken,België / Belgique / Belgien
,50.9078079,5.6619781,3620,Lanaken,België / Belgique / Belgien
,50.9318369,5.6653795,3621,Lanaken,België / Belgique / Belgien
,50.8105973,5.6689812,3770,Riemst,België / Belgique / Belgien
,50.8706148,5.7845741,6301 KS,Valkenburg,Nederland
Hogeschool Zuyd,50.8543619,5.6731844,6217 LW,Maastricht,Nederland
,50.8944607,5.7318390,6241 BB,Bunde,Nederland
,50.8763900,5.7448372,6231 AA,Rothem,Nederland
Rosplein,50.8066261,5.7665039,6251 NE,Eckelrade,Nederland
