charger_longitude;charger_latitude;Rating;atm;bakery;bar;bicycle_parking;books;cafe;clothes;doctors;fast_food;hairdresser;parking;pharmacy;playground;pub;restaurant;school;sports_centre;supermarket
6.2327849;52.1260135;1;1;1;0;0;1;0;0;0;3;2;0;1;1;0;0;0;0;1
6.23361399999999;52.0063997;4;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1
6.2455051;51.961712;1;0;1;0;0;0;0;0;0;0;1;0;2;3;0;0;3;0;2
6.25740909999999;51.9601625;5;0;1;0;0;0;0;0;1;0;2;0;2;3;0;0;5;1;2
6.27029289999999;51.9646106;3.3;0;1;0;3;0;0;0;3;0;0;2;1;1;0;1;1;2;4
6.2882095;51.9648652;1;0;5;3;2;3;11;47;1;10;4;3;2;0;4;33;2;2;6
6.292578;51.963562;1;0;5;3;2;3;11;47;1;11;4;3;2;0;4;33;4;2;5
6.2947291;51.9578815;5;0;3;1;2;3;7;41;2;8;2;1;2;0;3;15;3;0;2
6.34369529999999;51.9155212999999;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;2;0;0
6.3462733;51.9286979;2;0;0;0;0;0;0;2;1;2;2;3;0;0;0;0;2;1;2
6.3722771;51.8961479;5;3;2;0;1;0;0;10;0;2;4;0;1;0;0;1;1;0;4
6.41044499999999;52.751022;2.5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
6.42514549999999;52.70657;4.5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
6.442703;52.36578;4;0;1;0;1;1;0;0;0;2;1;0;0;2;4;10;1;0;2
6.4458824;52.7741939;2.9;0;0;0;0;0;0;0;0;0;0;2;0;5;0;4;0;0;0
6.45886939999999;52.3671164;3;3;4;0;0;2;0;14;0;7;3;3;2;1;5;14;1;1;6
6.46383779999999;52.3650181;3;3;4;0;1;2;0;14;0;7;3;4;2;1;5;14;0;1;6
6.4653193;52.3668734;5;3;4;0;0;2;0;14;0;7;3;4;2;1;5;14;1;1;6
6.466283;52.371773;5;3;2;0;0;1;0;14;0;5;1;3;1;1;1;10;1;1;4
6.46809449999999;52.7190697;2;0;2;0;0;2;2;27;1;2;2;80;2;7;0;11;1;0;3
6.46904559999999;52.3655564;4;3;4;0;0;2;0;14;0;7;3;4;2;0;2;13;0;1;6
6.49109899999999;52.716755;5;1;0;0;1;1;0;2;1;5;2;62;2;3;0;4;2;3;4
6.492681;52.7239249999999;1;0;0;0;1;0;0;15;0;8;3;63;1;4;0;8;1;3;4
6.498713;52.2997419999999;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;5;0;1
6.50108959999999;52.3014154;2;1;1;0;0;0;0;0;0;0;0;2;2;2;0;1;6;0;1
6.5016618;53.224251;3;0;0;0;0;0;0;0;1;1;2;0;0;2;1;1;2;0;0
6.51603589999999;52.0026501;4.5;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1
6.517338;52.710727;4;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;0
6.519666;53.2368219;4.6;1;1;0;16;1;2;1;0;0;1;1;1;4;0;4;3;2;1
6.5197866;53.2367637;3;1;1;0;16;1;2;1;0;0;1;1;1;4;0;4;3;2;1
6.5209766;53.2274009;4;0;2;0;11;1;0;3;2;1;3;1;3;6;2;4;2;1;5
6.5226962;53.2316449;4;0;2;0;13;1;1;3;2;1;3;2;3;4;2;4;3;1;5
6.53119089999999;53.1842864;5;0;0;0;3;0;1;0;0;0;0;0;1;1;0;0;2;1;0
6.54153869999999;52.9832205;5;0;0;0;1;0;1;0;0;1;2;64;0;11;0;6;3;3;1
6.5425444;53.2326462;5;6;2;1;15;2;5;16;6;15;5;0;3;22;2;6;2;2;5
6.54894609999999;53.1917364;4;2;1;0;4;0;1;0;2;2;1;0;1;7;1;3;1;0;1
6.5552505;53.2158022;5;8;8;21;33;11;67;154;6;63;56;9;2;13;31;120;5;2;12
6.55529379999999;53.1885937;5;1;1;0;3;0;1;0;2;1;1;0;1;10;1;3;1;0;1
6.5601303;53.2202359;4.5;9;10;46;49;12;83;163;9;82;75;14;4;15;50;199;4;3;19
6.5620417;53.2112218;1;8;7;39;36;9;68;146;7;61;50;11;2;10;40;127;4;2;12
6.5649017;51.9877642999999;4;1;4;1;2;1;3;7;1;1;2;0;2;1;2;3;0;0;4
